ScientificName,Ocean,latitude,longitude,DepthInMeters,ObservationYear,IndividualCount,CategoricalAbundance,Density,Condition,Temperature,Salinity,pH,pHscale
Adelogorgia phyllosclera,North Pacific,33.85479,-119.9905,79,2015,2.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.84805,-119.99656,87,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85296,-119.99185,81,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.8495,-119.99638,74,2015,4.0,present,,Live,10.7,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84912,-119.99644,83,2015,6.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85019,-119.99402,78,2015,15.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84918,-119.99651,81,2015,2.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85198,-119.99265,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84837,-119.99643,86,2015,7.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84881,-119.99651,84,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85216,-119.99239,80,2015,1.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85627,-119.98976,75,2015,1.0,present,,Live,10.5,33.7,,
Adelogorgia phyllosclera,North Pacific,33.85018,-119.99406,78,2015,8.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85011,-119.99415,78,2015,4.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84872,-119.99646,84,2015,1.0,present,,Damaged,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.84921,-119.99652,81,2015,3.0,present,,Live,10.6,33.6,,
Adelogorgia phyllosclera,North Pacific,33.85387,-119.99121,79,2015,16.0,present,,Live,10.6,33.6,,
